league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30,1993,38,38,3413,37.9,52,1.37,174,122,70.1,10,13,15,10,26.3,7,5,1,1,16.7
ESP-La Liga,2324,Girona,Paulo Gazzaniga,ARG,GK,31,1992,38,38,3420,38.0,46,1.21,164,123,72.0,25,6,7,9,23.7,7,5,1,1,16.7
ESP-La Liga,2324,Granada,André Ferreira,POR,GK,27,1996,15,14,1340,14.9,29,1.95,78,49,62.8,0,5,9,0,0.0,3,3,0,0,0.0
ESP-La Liga,2324,Granada,Augusto Batalla,ARG,GK,27,1996,17,17,1530,17.0,28,1.65,87,59,67.8,3,4,10,3,17.6,0,0,0,0,
ESP-La Liga,2324,Granada,Marc Martínez,ESP,GK,33,1990,3,3,270,3.0,11,3.67,23,12,52.2,0,0,3,0,0.0,2,2,0,0,0.0
ESP-La Liga,2324,Granada,Raúl Fernández,ESP,GK,35,1988,4,4,280,3.1,11,3.54,19,8,42.1,1,0,3,0,0.0,1,0,0,1,
ESP-La Liga,2324,Las Palmas,Aarón Escandell,ESP,GK,27,1995,2,1,153,1.7,3,1.76,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2324,Las Palmas,Álvaro Vallés,ESP,GK,26,1997,37,37,3263,36.3,44,1.21,147,109,70.1,10,10,17,8,21.6,8,4,3,1,42.9
ESP-La Liga,2324,Mallorca,Dominik Greif,SVK,GK,26,1997,1,1,90,1.0,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
ESP-La Liga,2324,Mallorca,Iván Cuéllar,ESP,GK,39,1984,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
ESP-La Liga,2324,Mallorca,Predrag Rajković,SRB,GK,27,1995,36,36,3240,36.0,43,1.19,141,98,69.5,7,15,14,5,13.9,5,4,1,0,20.0
ESP-La Liga,2324,Osasuna,Aitor Fernández,ESP,GK,32,1991,7,6,551,6.1,9,1.47,20,11,55.0,0,2,4,1,16.7,1,1,0,0,0.0
ESP-La Liga,2324,Osasuna,Sergio Herrera,ESP,GK,30,1993,32,32,2869,31.9,47,1.47,132,85,64.4,12,7,13,9,28.1,1,0,1,0,100.0
ESP-La Liga,2324,Rayo Vallecano,Dani Cárdenas,ESP,GK,26,1997,1,1,90,1.0,1,1.0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2324,Rayo Vallecano,Stole Dimitrievski,MKD,GK,29,1993,37,37,3330,37.0,47,1.27,153,106,69.3,8,14,15,9,24.3,2,1,1,0,50.0
ESP-La Liga,2324,Real Betis,Claudio Bravo,CHI,GK,40,1983,7,7,630,7.0,5,0.71,22,17,77.3,3,4,0,2,28.6,0,0,0,0,
ESP-La Liga,2324,Real Betis,Fran Vieites,ESP,GK,24,1999,4,3,315,3.5,4,1.14,18,14,77.8,1,2,0,1,33.3,0,0,0,0,
