league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
GER-Bundesliga,2425,Holstein Kiel,Marvin Schulz,GER,"DF,MF",29,1995,3.4,3,0,0,6,1,0,12,0,4,,,0
GER-Bundesliga,2425,Holstein Kiel,Max Geschwill,GER,DF,23,2001,14.2,2,0,0,13,9,1,10,31,22,,,1
GER-Bundesliga,2425,Holstein Kiel,Nicolai Remberg,GER,MF,24,2000,26.9,11,0,0,43,45,2,8,29,24,,,2
GER-Bundesliga,2425,Holstein Kiel,Patrick Erras,GER,DF,29,1995,9.2,2,0,0,10,0,0,0,9,6,,,0
GER-Bundesliga,2425,Holstein Kiel,Phil Harres,GER,FW,22,2002,17.2,3,0,0,35,20,5,6,4,9,,,0
GER-Bundesliga,2425,Holstein Kiel,Shuto Machino,JPN,"FW,MF",24,1999,21.7,2,0,0,20,25,9,33,7,5,,,0
GER-Bundesliga,2425,Holstein Kiel,Steven Skrzybski,GER,"FW,MF",31,1992,14.7,0,0,0,16,22,2,30,13,8,,,0
GER-Bundesliga,2425,Holstein Kiel,Thomas Dähne,GER,GK,30,1994,9.0,0,0,0,1,1,0,0,0,0,,,0
GER-Bundesliga,2425,Holstein Kiel,Timo Becker,GER,"DF,MF",27,1997,27.2,2,0,0,9,9,0,22,17,35,,,0
GER-Bundesliga,2425,Holstein Kiel,Timon Weiner,GER,GK,25,1999,25.0,4,0,0,2,3,0,0,0,0,,,0
GER-Bundesliga,2425,Holstein Kiel,Tymoteusz Puchacz,POL,MF,25,1999,4.4,0,0,0,2,7,1,38,3,5,,,0
GER-Bundesliga,2425,Leverkusen,Aleix García,ESP,MF,27,1997,16.2,3,0,0,8,9,1,93,14,9,,,0
GER-Bundesliga,2425,Leverkusen,Amine Adli,MAR,"MF,FW",24,2000,8.5,3,0,0,15,9,7,33,1,9,,,0
GER-Bundesliga,2425,Leverkusen,Arthur,BRA,"MF,DF",21,2003,8.4,1,0,0,20,6,0,16,9,12,,,0
GER-Bundesliga,2425,Leverkusen,Edmond Tapsoba,BFA,DF,25,1999,27.9,4,0,0,34,6,1,8,24,21,,,1
GER-Bundesliga,2425,Leverkusen,Emi Buendía,ARG,MF,27,1996,2.9,0,0,0,6,7,0,3,1,5,,,0
GER-Bundesliga,2425,Leverkusen,Exequiel Palacios,ARG,MF,25,1998,12.8,2,0,0,9,18,1,4,12,15,,,0
GER-Bundesliga,2425,Leverkusen,Florian Wirtz,GER,MF,21,2003,26.1,3,0,0,22,39,11,102,9,22,,,0
GER-Bundesliga,2425,Leverkusen,Granit Xhaka,SUI,MF,31,1992,32.1,3,0,0,34,34,0,30,11,27,,,1
GER-Bundesliga,2425,Leverkusen,Jeanuël Belocian,FRA,DF,19,2005,0.8,1,0,0,1,4,0,0,0,1,,,0
GER-Bundesliga,2425,Leverkusen,Jeremie Frimpong,NED,MF,23,2000,25.7,4,0,0,20,31,9,113,8,24,,,0
GER-Bundesliga,2425,Leverkusen,Jonas Hofmann,GER,MF,32,1992,4.0,1,0,0,1,9,0,5,0,0,,,0
GER-Bundesliga,2425,Leverkusen,Jonathan Tah,GER,DF,28,1996,33.0,3,0,0,16,5,0,7,37,14,,,0
GER-Bundesliga,2425,Leverkusen,Lukáš Hrádecký,FIN,GK,34,1989,29.0,1,0,0,0,2,0,0,0,0,,,0
GER-Bundesliga,2425,Leverkusen,Mario Hermoso,ESP,DF,29,1995,3.3,0,0,0,2,1,0,4,9,0,,,0
GER-Bundesliga,2425,Leverkusen,Martin Terrier,FRA,"MF,FW",27,1997,6.5,1,0,0,2,9,2,5,1,2,,,0
GER-Bundesliga,2425,Leverkusen,Matej Kovar,CZE,GK,24,2000,5.0,0,0,0,0,1,0,0,0,0,,,0
GER-Bundesliga,2425,Leverkusen,Nathan Tella,NGA,"MF,FW",25,1999,15.1,1,0,0,22,32,10,25,5,11,,,0
GER-Bundesliga,2425,Leverkusen,Nordi Mukiele,FRA,"DF,MF",26,1997,10.0,4,0,0,6,14,1,13,16,17,,,1
GER-Bundesliga,2425,Leverkusen,Patrik Schick,CZE,FW,28,1996,18.7,4,0,0,23,23,7,1,4,5,,,0
GER-Bundesliga,2425,Leverkusen,Piero Hincapié,ECU,DF,22,2002,29.7,8,0,0,26,43,0,36,32,40,,,1
GER-Bundesliga,2425,Leverkusen,Robert Andrich,GER,"MF,DF",29,1994,17.8,7,0,0,29,17,0,12,27,12,,,0
GER-Bundesliga,2425,Leverkusen,Victor Boniface,NGA,FW,23,2000,11.2,2,0,0,14,8,6,6,0,4,,,0
GER-Bundesliga,2425,Leverkusen,Álex Grimaldo,ESP,MF,28,1995,29.3,6,1,1,15,25,8,217,17,15,,,0
GER-Bundesliga,2425,Mainz 05,Andreas Hanche-Olsen,NOR,DF,27,1997,14.3,4,1,1,20,8,0,1,11,14,,,0
GER-Bundesliga,2425,Mainz 05,Anthony Caci,FRA,MF,27,1997,29.8,6,0,0,37,11,15,134,27,37,,,0
GER-Bundesliga,2425,Mainz 05,Armindo Sieb,GER,"MF,FW",21,2003,8.5,2,0,0,13,13,10,6,1,5,,,0
GER-Bundesliga,2425,Mainz 05,Arnaud Nordin,FRA,"FW,MF",26,1998,0.9,0,0,0,1,3,0,9,0,0,,,0
GER-Bundesliga,2425,Mainz 05,Aymen Barkok,MAR,MF,26,1998,0.8,0,0,0,2,1,0,5,2,1,,,0
GER-Bundesliga,2425,Mainz 05,Danny da Costa,GER,DF,31,1993,22.3,0,0,0,19,4,0,22,29,24,,,0
GER-Bundesliga,2425,Mainz 05,Dominik Kohr,GER,"DF,MF",30,1994,25.5,11,1,0,46,36,1,14,42,46,,,0
GER-Bundesliga,2425,Mainz 05,Gabriel Vidovic,CRO,MF,20,2003,0.0,0,0,0,0,1,0,0,0,0,,,0
GER-Bundesliga,2425,Mainz 05,Hong Hyunseok,KOR,MF,25,1999,5.9,0,0,0,3,8,1,4,7,3,,,0
GER-Bundesliga,2425,Mainz 05,Jonathan Burkardt,GER,FW,24,2000,23.4,0,0,0,23,24,11,27,1,7,,,0
GER-Bundesliga,2425,Mainz 05,Kaishū Sano,JPN,MF,23,2000,33.8,3,0,0,16,33,2,11,63,33,,,0
GER-Bundesliga,2425,Mainz 05,Karim Onisiwo,AUT,MF,32,1992,1.2,0,0,0,3,2,1,2,0,0,,,0
GER-Bundesliga,2425,Mainz 05,Lasse Rieß,GER,GK,23,2001,2.0,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,Mainz 05,Lee Jae-sung,KOR,MF,31,1992,29.4,4,0,0,23,40,9,31,37,24,,,0
GER-Bundesliga,2425,Mainz 05,Lennard Maloney,USA,"DF,MF",24,1999,0.3,1,0,0,2,0,0,0,0,1,,,0
GER-Bundesliga,2425,Mainz 05,Maxim Leitsch,GER,DF,26,1998,7.5,2,0,0,10,4,0,3,8,4,,,0
GER-Bundesliga,2425,Mainz 05,Moritz Jenz,GER,DF,25,1999,17.8,4,0,0,27,6,1,0,29,23,,,0
GER-Bundesliga,2425,Mainz 05,Nadiem Amiri,GER,MF,27,1996,27.5,9,2,1,44,51,2,165,19,28,,,0
GER-Bundesliga,2425,Mainz 05,Nelson Weiper,GER,FW,19,2005,7.8,2,0,0,19,0,7,6,2,4,,,0
GER-Bundesliga,2425,Mainz 05,Nikolas Veratschnig,AUT,MF,21,2003,4.0,1,0,0,9,6,4,7,4,7,,,0
GER-Bundesliga,2425,Mainz 05,Paul Nebel,GER,MF,21,2002,26.1,5,1,1,37,38,5,111,14,27,,,0
GER-Bundesliga,2425,Mainz 05,Phillipp Mwene,AUT,MF,30,1994,29.0,7,0,0,24,24,3,86,24,30,,,0
GER-Bundesliga,2425,Mainz 05,Robin Zentner,GER,GK,29,1994,32.0,3,0,0,1,2,0,0,0,1,,,0
GER-Bundesliga,2425,Mainz 05,Silvan Widmer,SUI,MF,31,1993,5.6,3,0,0,5,4,2,12,5,5,,,0
GER-Bundesliga,2425,Mainz 05,Stefan Bell,GER,DF,32,1991,16.0,4,0,0,24,10,3,0,28,11,,,0
GER-Bundesliga,2425,RB Leipzig,Amadou Haidara,MLI,MF,26,1998,14.7,7,0,0,23,8,0,12,18,17,,,0
GER-Bundesliga,2425,RB Leipzig,André Silva,POR,FW,28,1995,1.5,0,0,0,0,2,0,0,0,1,,,0
GER-Bundesliga,2425,RB Leipzig,Antonio Nusa,NOR,"MF,DF",19,2005,17.3,0,0,0,14,28,9,35,8,17,,,0
GER-Bundesliga,2425,RB Leipzig,Arthur Vermeeren,BEL,MF,19,2005,17.5,7,0,0,22,1,0,3,23,20,,,0
GER-Bundesliga,2425,RB Leipzig,Assan Ouédraogo,GER,MF,18,2006,0.6,0,0,0,1,3,0,1,0,0,,,0
GER-Bundesliga,2425,RB Leipzig,Benjamin Henrichs,GER,"DF,MF",27,1997,10.4,3,0,0,13,9,0,19,15,16,,,0
GER-Bundesliga,2425,RB Leipzig,Benjamin Šeško,SVN,"FW,MF",21,2003,26.4,2,1,1,26,20,18,7,4,3,,,0
GER-Bundesliga,2425,RB Leipzig,Castello Lukeba,FRA,DF,21,2002,17.5,2,0,0,12,15,0,11,18,18,,,0
GER-Bundesliga,2425,RB Leipzig,Christoph Baumgartner,AUT,"MF,FW",24,1999,17.9,5,0,0,44,29,4,14,12,25,,,0
GER-Bundesliga,2425,RB Leipzig,David Raum,GER,"MF,DF",26,1998,19.8,5,0,0,23,10,6,188,10,28,,,0
GER-Bundesliga,2425,RB Leipzig,El Chadaille Bitshiabu,FRA,DF,19,2005,12.6,2,1,0,8,2,0,4,13,19,,,0
GER-Bundesliga,2425,RB Leipzig,Elif Elmas,MKD,"FW,MF",24,1999,0.5,1,0,0,2,0,1,0,0,1,,,0
GER-Bundesliga,2425,RB Leipzig,Faik Sakar,GER,MF,16,2008,0.0,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,RB Leipzig,Kevin Kampl,SVN,MF,33,1990,17.7,5,0,0,20,7,1,29,22,20,,,0
GER-Bundesliga,2425,RB Leipzig,Kosta Nedeljković,SRB,"DF,MF",18,2005,5.3,1,0,0,7,1,1,17,2,8,,,0
GER-Bundesliga,2425,RB Leipzig,Loïs Openda,BEL,FW,24,2000,27.3,5,1,1,29,77,27,27,5,4,,,0
GER-Bundesliga,2425,RB Leipzig,Lukas Klostermann,GER,DF,28,1996,20.4,5,0,0,13,7,0,12,25,14,,,0
GER-Bundesliga,2425,RB Leipzig,Lutsharel Geertruida,NED,DF,24,2000,17.3,2,0,0,17,6,1,13,16,24,,,0
GER-Bundesliga,2425,RB Leipzig,Maarten Vandevoordt,BEL,GK,22,2002,4.8,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,RB Leipzig,Mohamed Simakan,FRA,DF,24,2000,0.6,0,0,0,0,1,0,1,2,0,,,0
GER-Bundesliga,2425,RB Leipzig,Nicolas Seiwald,AUT,"MF,DF",23,2001,23.2,2,0,0,27,2,0,46,31,32,,,0
GER-Bundesliga,2425,RB Leipzig,Péter Gulácsi,HUN,GK,34,1990,29.2,0,0,0,0,1,0,0,0,1,,,0
GER-Bundesliga,2425,RB Leipzig,Ridle Baku,GER,MF,26,1998,14.2,1,0,0,13,14,3,33,11,19,,,0
GER-Bundesliga,2425,RB Leipzig,Tidiam Gomis,FRA,FW,17,2006,1.7,2,0,0,3,2,2,4,1,0,,,0
GER-Bundesliga,2425,RB Leipzig,Viggo Gebel,GER,MF,16,2007,0.2,0,0,0,0,1,0,0,0,0,,,0
GER-Bundesliga,2425,RB Leipzig,Willi Orban,HUN,DF,31,1992,24.7,4,2,0,23,14,4,5,20,24,,,0
GER-Bundesliga,2425,RB Leipzig,Xaver Schlager,AUT,MF,26,1997,2.0,1,0,0,4,3,0,1,0,1,,,0
GER-Bundesliga,2425,RB Leipzig,Xavi Simons,NED,MF,21,2003,23.9,5,0,0,24,56,5,80,13,22,,,0
GER-Bundesliga,2425,RB Leipzig,Yussuf Poulsen,DEN,"MF,FW",30,1994,4.2,1,0,0,8,14,1,2,0,5,,,0
GER-Bundesliga,2425,St Pauli,Abdoulie Ceesay,GAM,FW,20,2004,0.7,1,0,0,2,3,0,0,0,3,,,0
GER-Bundesliga,2425,St Pauli,Adam Dźwigała,POL,DF,28,1995,4.1,2,1,0,5,3,0,3,3,10,,,0
GER-Bundesliga,2425,St Pauli,Andreas Albers,DEN,"FW,MF",34,1990,0.7,0,0,0,3,2,0,0,0,0,,,0
GER-Bundesliga,2425,St Pauli,Ben Alexander Voll,GER,GK,23,2000,1.0,1,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,St Pauli,Carlo Boukhalfa,MAR,MF,25,1999,18.3,1,0,0,18,17,2,11,10,11,,,0
GER-Bundesliga,2425,St Pauli,Connor Metcalfe,AUS,"MF,FW",24,1999,4.0,2,1,1,5,4,0,7,3,0,,,0
GER-Bundesliga,2425,St Pauli,Danel Sinani,LUX,"FW,MF",27,1997,13.9,3,0,0,25,14,4,70,2,11,,,0
GER-Bundesliga,2425,St Pauli,Dapo Afolayan,ENG,"FW,MF",26,1997,18.2,3,0,0,21,42,9,50,8,8,,,0
GER-Bundesliga,2425,St Pauli,David Nemeth,AUT,DF,23,2001,23.7,3,0,0,21,14,0,7,18,29,,,0
GER-Bundesliga,2425,St Pauli,Elias Saad,TUN,"FW,MF",24,1999,10.0,1,0,0,17,24,7,14,4,14,,,0
GER-Bundesliga,2425,St Pauli,Eric Smith,SWE,"DF,MF",27,1997,31.4,7,0,0,27,24,3,100,37,27,,,0
GER-Bundesliga,2425,St Pauli,Erik Ahlstrand,SWE,MF,22,2001,0.5,0,0,0,0,0,1,0,1,0,,,0
GER-Bundesliga,2425,St Pauli,Finley Stevens,WAL,DF,21,2003,0.0,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,St Pauli,Hauke Wahl,GER,DF,30,1994,33.0,1,0,0,13,15,2,8,29,29,,,0
GER-Bundesliga,2425,St Pauli,Jackson Irvine,AUS,MF,31,1993,29.0,2,0,0,38,16,2,17,35,29,,,0
GER-Bundesliga,2425,St Pauli,James Sands,USA,MF,24,2000,5.0,1,0,0,11,5,1,2,6,7,,,0
GER-Bundesliga,2425,St Pauli,Johannes Eggestein,GER,FW,26,1998,20.6,3,0,0,12,12,14,35,0,4,,,0
GER-Bundesliga,2425,St Pauli,Karol Mets,EST,DF,31,1993,10.0,1,0,0,7,5,0,3,11,8,,,0
GER-Bundesliga,2425,St Pauli,Lars Ritzka,GER,"MF,DF",26,1998,10.2,1,0,0,10,6,1,19,10,28,,,0
GER-Bundesliga,2425,St Pauli,Manolis Saliakas,GRE,MF,27,1996,25.7,4,0,0,16,15,0,83,16,23,,,0
GER-Bundesliga,2425,St Pauli,Maurides,BRA,FW,30,1994,0.0,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,St Pauli,Morgan Guilavogui,GUI,"FW,MF",26,1998,20.1,6,0,0,47,34,11,10,13,19,,,0
GER-Bundesliga,2425,St Pauli,Nikola Vasilj,BIH,GK,28,1995,33.0,2,1,1,1,1,0,0,0,0,,,0
GER-Bundesliga,2425,St Pauli,Noah Weißhaupt,GER,"FW,MF",22,2001,12.9,0,0,0,10,42,6,72,1,6,,,0
GER-Bundesliga,2425,St Pauli,Philipp Treu,GER,MF,23,2000,32.0,2,0,0,20,36,2,59,22,43,,,1
GER-Bundesliga,2425,St Pauli,Robert Wagner,GER,MF,21,2003,4.5,1,0,0,6,5,0,2,2,4,,,0
GER-Bundesliga,2425,St Pauli,Scott Banks,SCO,MF,22,2001,1.3,1,0,0,2,4,0,6,2,1,,,0
GER-Bundesliga,2425,St Pauli,Siebe Van Der Heyden,BEL,"DF,MF",26,1998,9.7,4,1,1,16,9,0,18,15,10,,,0
GER-Bundesliga,2425,Stuttgart,Alexander Nübel,GER,GK,27,1996,34.0,0,0,0,0,4,0,0,0,0,,,0
GER-Bundesliga,2425,Stuttgart,Ameen Al-Dakhil,BEL,DF,22,2002,4.8,0,1,0,4,5,0,0,9,6,,,0
GER-Bundesliga,2425,Stuttgart,Angelo Stiller,GER,MF,23,2001,30.5,6,0,0,21,48,1,94,26,26,,,1
GER-Bundesliga,2425,Stuttgart,Anrie Chase,JPN,DF,20,2004,8.2,1,0,0,12,2,0,4,9,5,,,0
GER-Bundesliga,2425,Stuttgart,Anthony Rouault,FRA,DF,23,2001,13.5,1,0,0,19,8,0,1,17,11,,,0
GER-Bundesliga,2425,Stuttgart,Atakan Karazor,TUR,MF,27,1996,29.1,10,1,1,37,59,2,4,33,32,,,0
GER-Bundesliga,2425,Stuttgart,Chris Führich,GER,MF,26,1998,22.0,1,0,0,9,6,1,83,7,11,,,0
GER-Bundesliga,2425,Stuttgart,Dan-Axel Zagadou,FRA,DF,25,1999,0.3,1,0,0,1,0,0,0,1,0,,,0
GER-Bundesliga,2425,Stuttgart,Deniz Undav,GER,"FW,MF",28,1996,19.2,4,0,0,25,22,12,11,2,10,,,0
GER-Bundesliga,2425,Stuttgart,El Bilal Touré,MLI,FW,22,2001,4.0,0,0,0,9,3,1,0,0,1,,,0
GER-Bundesliga,2425,Stuttgart,Enzo Millot,FRA,MF,22,2002,20.5,9,0,0,25,37,3,41,13,13,,,0
GER-Bundesliga,2425,Stuttgart,Ermedin Demirović,BIH,FW,26,1998,20.6,2,0,0,24,27,18,3,1,7,,,0
GER-Bundesliga,2425,Stuttgart,Fabian Rieder,SUI,MF,22,2002,9.6,1,0,0,14,11,0,40,11,15,,,0
GER-Bundesliga,2425,Stuttgart,Finn Jeltsch,GER,DF,18,2006,8.7,2,0,0,7,5,0,3,13,14,,,0
GER-Bundesliga,2425,Stuttgart,Frans Krätzig,GER,DF,21,2003,0.6,0,0,0,1,0,0,1,0,1,,,0
GER-Bundesliga,2425,Stuttgart,Jacob Bruun Larsen,DEN,MF,25,1998,4.6,1,0,0,2,2,6,17,1,1,,,0
GER-Bundesliga,2425,Stuttgart,Jamie Leweling,GER,MF,23,2001,18.5,4,0,0,17,29,4,57,11,7,,,0
GER-Bundesliga,2425,Stuttgart,Jarzinho Malanga,GER,MF,18,2006,0.0,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,Stuttgart,Josha Vagnoman,GER,"DF,MF",23,2000,20.4,4,0,0,18,20,0,44,14,13,,,0
GER-Bundesliga,2425,Stuttgart,Julian Chabot,GER,DF,26,1998,25.2,11,1,1,35,28,5,2,35,25,,,0
GER-Bundesliga,2425,Stuttgart,Justin Diehl,GER,MF,19,2004,1.2,0,0,0,2,0,0,10,0,0,,,0
GER-Bundesliga,2425,Stuttgart,Leonidas Stergiou,SUI,DF,22,2002,9.5,0,1,0,6,0,1,14,14,11,,,0
GER-Bundesliga,2425,Stuttgart,Luca Jaquez,SUI,DF,21,2003,2.8,0,0,0,4,0,0,1,3,0,,,0
GER-Bundesliga,2425,Stuttgart,Maximilian Mittelstädt,GER,"DF,MF",27,1997,27.4,5,0,0,24,38,2,166,47,55,,,0
GER-Bundesliga,2425,Stuttgart,Nick Woltemade,GER,"FW,MF",22,2002,18.0,5,1,1,24,35,6,6,1,6,,,0
GER-Bundesliga,2425,Stuttgart,Nikolas Nartey,DEN,MF,24,2000,0.2,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,Stuttgart,Pascal Stenzel,GER,DF,28,1996,3.2,0,0,0,4,2,0,27,2,2,,,0
GER-Bundesliga,2425,Stuttgart,Ramon Hendriks,NED,DF,23,2001,12.8,3,0,0,12,14,0,12,15,11,,,0
GER-Bundesliga,2425,Stuttgart,Yannik Keitel,GER,MF,24,2000,3.0,1,0,0,2,6,0,2,4,6,,,0
GER-Bundesliga,2425,Union Berlin,Alexander Schwolow,GER,GK,32,1992,6.0,0,0,0,0,0,0,0,0,0,,,0
GER-Bundesliga,2425,Union Berlin,Aljoscha Kemlein,GER,MF,19,2004,10.2,3,0,0,15,2,1,5,7,5,,,0
GER-Bundesliga,2425,Union Berlin,Andrej Ilic,SRB,FW,24,2000,10.4,1,0,0,14,8,8,3,3,2,,,0
GER-Bundesliga,2425,Union Berlin,András Schäfer,HUN,MF,25,1999,17.0,3,0,0,27,33,0,17,24,25,,,0
GER-Bundesliga,2425,Union Berlin,Benedict Hollerbach,GER,"FW,MF",23,2001,28.2,3,0,0,43,45,17,73,3,20,,,0
GER-Bundesliga,2425,Union Berlin,Christopher Trimmel,AUT,"MF,DF",37,1987,19.3,5,0,0,14,5,1,109,17,24,,,0
GER-Bundesliga,2425,Union Berlin,Danilho Doekhi,NED,DF,26,1998,34.0,4,0,0,36,14,2,10,44,23,,,0
GER-Bundesliga,2425,Union Berlin,David Preu,GER,MF,19,2004,1.3,1,0,0,1,1,1,4,0,0,,,0
GER-Bundesliga,2425,Union Berlin,Diogo Leite,POR,DF,25,1999,28.3,3,0,0,25,37,2,9,53,34,,,1
GER-Bundesliga,2425,Union Berlin,Frederik Rønnow,DEN,GK,31,1992,28.0,2,0,0,0,4,0,0,0,0,,,0
GER-Bundesliga,2425,Union Berlin,Ivan Prtajin,CRO,FW,28,1996,1.8,0,0,0,1,1,2,3,0,2,,,0
GER-Bundesliga,2425,Union Berlin,Janik Haberer,GER,MF,30,1994,18.8,1,0,0,21,15,3,15,18,28,,,0
GER-Bundesliga,2425,Union Berlin,Jeong Woo-yeong,KOR,"MF,FW",24,1999,14.0,2,0,0,16,15,4,37,11,7,,,0
GER-Bundesliga,2425,Union Berlin,Jordan Pefok,USA,FW,28,1996,10.1,2,0,0,22,15,7,0,4,6,,,0
GER-Bundesliga,2425,Union Berlin,Josip Juranović,CRO,"MF,DF",28,1995,12.9,4,0,0,8,6,1,77,6,13,,,0
GER-Bundesliga,2425,Union Berlin,Jérôme Roussillon,GLP,DF,31,1993,1.5,0,0,0,1,3,0,10,2,0,,,0
GER-Bundesliga,2425,Union Berlin,Kevin Vogt,GER,DF,32,1991,15.2,6,0,0,10,7,0,0,9,7,,,0
GER-Bundesliga,2425,Union Berlin,Kevin Volland,GER,"FW,MF",32,1992,0.7,1,0,0,3,0,0,0,0,0,,,0
GER-Bundesliga,2425,Union Berlin,Leopold Querfeld,AUT,DF,20,2003,19.4,8,0,0,20,13,0,1,17,15,,,0
GER-Bundesliga,2425,Union Berlin,Lucas Tousart,FRA,MF,27,1997,6.2,2,0,0,11,6,0,2,6,9,,,0
GER-Bundesliga,2425,Union Berlin,László Bénes,SVK,"MF,FW",26,1997,6.5,4,0,0,10,4,1,49,4,3,,,0
GER-Bundesliga,2425,Union Berlin,Marin Ljubicic,CRO,FW,22,2002,3.1,1,0,0,9,8,1,1,0,1,,,0
GER-Bundesliga,2425,Union Berlin,Rani Khedira,TUN,MF,30,1994,30.3,7,0,0,44,19,1,22,47,42,,,0
GER-Bundesliga,2425,Union Berlin,Robert Skov,DEN,"MF,DF",28,1996,9.5,1,0,0,14,10,1,62,9,10,,,0
GER-Bundesliga,2425,Union Berlin,Robin Gosens,GER,MF,30,1994,1.0,1,0,0,5,0,0,1,1,0,,,0
GER-Bundesliga,2425,Union Berlin,Tim Skarke,GER,"FW,MF",27,1996,12.9,1,0,0,10,15,10,28,5,12,,,0
GER-Bundesliga,2425,Union Berlin,Tom Rothe,GER,"MF,DF",19,2004,18.6,4,1,0,25,11,2,46,18,30,,,0
GER-Bundesliga,2425,Union Berlin,Yorbe Vertessen,BEL,"MF,FW",23,2001,8.0,2,0,0,14,17,2,23,3,4,,,0
GER-Bundesliga,2425,Werder Bremen,Amos Pieper,GER,DF,26,1998,16.6,3,0,0,11,11,0,4,23,17,,,0
GER-Bundesliga,2425,Werder Bremen,André Silva,POR,FW,28,1995,4.2,1,0,0,4,7,2,2,0,2,,,0
GER-Bundesliga,2425,Werder Bremen,Anthony Jung,GER,DF,32,1991,21.1,1,0,0,9,15,2,4,26,21,,,0
GER-Bundesliga,2425,Werder Bremen,Derrick Köhn,GHA,"MF,DF",25,1999,14.9,2,0,0,14,19,4,56,11,12,,,0
GER-Bundesliga,2425,Werder Bremen,Felix Agu,NGA,MF,24,1999,19.5,1,0,0,11,43,4,50,19,16,,,1
GER-Bundesliga,2425,Werder Bremen,Issa Kaboré,BFA,MF,23,2001,3.4,0,0,0,4,8,1,19,2,5,,,0
GER-Bundesliga,2425,Werder Bremen,Jens Stage,DEN,MF,27,1996,24.5,10,0,0,37,30,4,24,18,29,,,0
GER-Bundesliga,2425,Werder Bremen,Julián Malatini,ARG,DF,23,2001,5.0,1,0,0,9,5,0,3,7,9,,,0
GER-Bundesliga,2425,Werder Bremen,Justin Njinmah,GER,"FW,MF",23,2000,10.6,1,0,0,7,17,12,19,4,1,,,0
GER-Bundesliga,2425,Werder Bremen,Keke Topp,GER,FW,20,2004,2.8,1,0,0,8,6,2,6,1,1,,,0
GER-Bundesliga,2425,Werder Bremen,Leonardo Bittencourt,GER,MF,30,1993,10.9,3,0,0,15,19,2,23,15,8,,,0
GER-Bundesliga,2425,Werder Bremen,Marco Friedl,AUT,DF,26,1998,24.0,10,2,1,26,16,3,2,36,41,,,2
GER-Bundesliga,2425,Werder Bremen,Marco Grüll,AUT,"FW,MF",26,1998,13.1,1,0,0,22,31,6,21,5,10,,,0
GER-Bundesliga,2425,Werder Bremen,Marvin Ducksch,GER,FW,30,1994,26.9,3,0,0,6,17,14,169,7,6,,,0
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29,1995,34.0,2,0,0,0,6,0,0,1,0,,,0
GER-Bundesliga,2425,Werder Bremen,Miloš Veljković,SRB,DF,28,1995,11.4,1,0,0,5,3,2,9,3,5,,,0
GER-Bundesliga,2425,Werder Bremen,Mitchell Weiser,GER,MF,30,1994,31.9,9,1,1,30,45,1,80,22,42,,,0
GER-Bundesliga,2425,Werder Bremen,Niklas Stark,GER,DF,29,1995,23.4,6,1,1,30,28,2,4,36,24,,,0
GER-Bundesliga,2425,Werder Bremen,Oliver Burke,SCO,FW,27,1997,10.1,4,0,0,12,2,8,20,2,4,,,0
GER-Bundesliga,2425,Werder Bremen,Olivier Deman,BEL,"DF,FW",24,2000,0.7,1,0,0,1,2,0,6,4,3,,,0
GER-Bundesliga,2425,Werder Bremen,Romano Schmid,AUT,MF,24,2000,31.5,4,0,0,28,42,3,143,12,25,,,0
GER-Bundesliga,2425,Werder Bremen,Senne Lynen,BEL,MF,25,1999,30.4,9,0,0,39,25,0,5,64,38,,,0
GER-Bundesliga,2425,Werder Bremen,Skelly Alvero,FRA,MF,22,2002,2.6,1,0,0,7,5,0,0,2,6,,,0
GER-Bundesliga,2425,Wolfsburg,Andreas Skov Olsen,DEN,"MF,FW",24,1999,5.9,0,0,0,2,3,2,29,2,7,,,0
GER-Bundesliga,2425,Wolfsburg,Aster Vranckx,BEL,MF,21,2002,6.2,1,0,0,12,11,0,3,10,6,,,0
GER-Bundesliga,2425,Wolfsburg,Bence Dárdai,HUN,MF,18,2006,14.5,0,0,0,9,16,0,10,12,14,,,0
GER-Bundesliga,2425,Wolfsburg,Cedric Zesiger,SUI,DF,26,1998,5.8,4,0,0,14,5,0,3,5,9,,,0
GER-Bundesliga,2425,Wolfsburg,David Odogu,GER,DF,18,2006,2.2,0,0,0,2,0,1,0,2,4,,,0
GER-Bundesliga,2425,Wolfsburg,Denis Vavro,SVK,DF,28,1996,27.3,4,0,0,7,5,0,8,36,13,,,0
GER-Bundesliga,2425,Wolfsburg,Jakub Kamiński,POL,"MF,DF",22,2002,12.6,2,0,0,10,3,0,52,11,9,,,1
GER-Bundesliga,2425,Wolfsburg,Joakim Mæhle,DEN,"DF,MF",27,1997,24.3,6,0,0,9,16,0,25,26,14,,,0
